datapoint_nr,unixtimestamp,routetable_update_nr,edge_id,length_m_left_on_edge,latitude,longitude,vehicle_speed_kmh,dist_mapmatching,TTAU_manual_this,TTAF_manual_to_L2_this,TTAF_L2_to_manual_this,TTAU_L2_this,TTAU_manual_next,TTAF_manual_to_L2_next,TTAF_L2_to_manual_next,TTAU_L2_next
90,1643880163,0,0,9.99,58.037,12.795,26,6.92,0,161.15,0,0,0,0,0,58.4
91,1643880164,0,0,7.99,58.037,12.795,32,3.23,0,161.15,0,0,0,0,0,58.4
92,1643880165,0,1,8.99,58.037,12.795,40,3.19,0,161.15,0,0,0,0,0,58.4
93,1643880166,0,2,7.99,58.036,12.795,45,3.12,0,161.15,0,0,0,0,0,58.4
94,1643880167,0,3,6.07,58.036,12.795,48,3.12,0,161.15,0,0,0,0,0,58.4
95,1643880168,0,4,1.01,58.036,12.795,51,3.33,0,161.15,0,0,0,0,0,58.4
96,1643880169,0,6,10.11,58.036,12.795,54,3.13,0,161.87,0,0,0,0,0,58.4
97,1643880170,0,7,6.07,58.036,12.794,56,2.45,0,161.58,0,0,0,0,0,58.4
98,1643880171,0,9,7.17,58.036,12.794,57,2.14,0,160.79,0,0,0,0,0,58.4
99,1643880172,0,10,4.1,58.036,12.794,57,2.03,0,159.93,0,0,0,0,0,58.4
100,1643880173,0,12,8.19,58.036,12.794,58,1.59,0,159.06,0,0,0,0,0,58.4
101,1643880174,0,14,8.1,58.036,12.794,59,1.44,0,158.11,0,0,0,0,0,58.4
102,1643880175,0,15,5.06,58.036,12.794,59,1.5,0,157.53,0,0,0,0,0,58.4
103,1643880176,0,17,5.06,58.035,12.794,59,1.04,0,156.29,0,0,0,0,0,58.4
104,1643880177,0,18,0.98,58.035,12.793,59,1.59,0,155.48,0,0,0,0,0,58.4
105,1643880178,0,20,9.77,58.035,12.793,60,2.21,0,154.38,0,0,0,0,0,58.4
106,1643880179,0,21,5.86,58.035,12.793,59,2.59,0,153.35,0,0,0,0,0,58.4
107,1643880180,0,23,8.79,58.035,12.793,57,2.46,0,152.03,0,0,0,0,0,58.4
108,1643880181,0,24,4.97,58.035,12.793,55,2.84,0,150.71,0,0,0,0,0,58.4
109,1643880182,0,25,3.98,58.035,12.793,55,4.1,0,149.84,0,0,0,0,0,58.4
110,1643880183,0,26,0,58.035,12.793,55,4.76,0,148.98,0,0,0,0,0,58.4
